Lotus 1-2-3;application/vnd.lotus-1-2-3;.123
Secured eMail;application/vnd.semd;.semd
Secured eMail;application/vnd.semf;.semf
Java Serialized Object;application/java-serialized-object;.ser
Secure Electronic Transaction - Payment;application/set-payment-initiation;.setpay
Secure Electronic Transaction - Registration;application/set-registration-initiation;.setreg
Hydrostatix Master Suite;application/vnd.hydrostatix.sof-data;.sfd-hdstx
TIBCO Spotfire;application/vnd.spotfire.sfs;.sfs
StarOffice - Writer (Global);application/vnd.stardivision.writer-global;.sgl
Standard Generalized Markup Language (SGML);text/sgml;.sgml
Bourne Shell Script;application/x-sh;.sh
Shell Archive;application/x-shar;.shar
S Hexdump Format;application/shf+xml;.shf
Symbian Install Package;application/vnd.symbian.install;.sis
Stuffit Archive;application/x-stuffit;.sit
Stuffit Archive;application/x-stuffitx;.sitx
SSEYO Koan Play File;application/vnd.koan;.skp
Microsoft PowerPoint - Macro-Enabled Open XML Slide;application/vnd.ms-powerpoint.slide.macroenabled.12;.sldm
Microsoft Office - OOXML - Presentation (Slide);application/vnd.openxmlformats-officedocument.presentationml.slide;.sldx
SimpleAnimeLite Player;application/vnd.epson.salt;.slt
StepMania;application/vnd.stepmania.stepchart;.sm
StarOffice - Math;application/vnd.stardivision.math;.smf
Synchronized Multimedia Integration Language;application/smil+xml;.smi
Server Normal Format;application/x-font-snf;.snf
SMAF Phrase;application/vnd.yamaha.smaf-phrase;.spf
FutureSplash Animator;application/x-futuresplash;.spl
In3D - 3DML;text/vnd.in3d.spot;.spot
Server-Based Certificate Validation Protocol - Validation Policies - Response;application/scvp-vp-response;.spp
Server-Based Certificate Validation Protocol - Validation Policies - Request;application/scvp-vp-request;.spq
WAIS Source;application/x-wais-source;.src
Search/Retrieve via URL Response Format;application/sru+xml;.sru
SPARQL - Results;application/sparql-results+xml;.srx
Kodak Storyshare;application/vnd.kodak-descriptor;.sse
QUASS Stream Player;application/vnd.epson.ssf;.ssf
Speech Synthesis Markup Language;application/ssml+xml;.ssml
SailingTracker;application/vnd.sailingtracker.track;.st
OpenOffice - Calc Template (Spreadsheet);application/vnd.sun.xml.calc.template;.stc
OpenOffice - Draw Template (Graphics);application/vnd.sun.xml.draw.template;.std
Worldtalk;application/vnd.wt.stf;.stf
OpenOffice - Impress Template (Presentation);application/vnd.sun.xml.impress.template;.sti
Hyperstudio;application/hyperstudio;.stk
Microsoft Trust UI Provider - Certificate Trust Link;application/vnd.ms-pki.stl;.stl
Proprietary P&G Standard Reporting System;application/vnd.pg.format;.str
OpenOffice - Writer Template (Text - HTML);application/vnd.sun.xml.writer.template;.stw
Close Captioning - Subtitle;image/vnd.dvb.subtitle;.sub
ScheduleUs;application/vnd.sus-calendar;.sus
System V Release 4 CPIO Archive;application/x-sv4cpio;.sv4cpio
System V Release 4 CPIO Checksum Data;application/x-sv4crc;.sv4crc
Digital Video Broadcasting;application/vnd.dvb.service;.svc
SourceView Document;application/vnd.svd;.svd
Scalable Vector Graphics (SVG);image/svg+xml;.svg
Adobe Flash;application/x-shockwave-flash;.swf
Arista Networks Software Image;application/vnd.aristanetworks.swi;.swi
OpenOffice - Calc (Spreadsheet);application/vnd.sun.xml.calc;.sxc
OpenOffice - Draw (Graphics);application/vnd.sun.xml.draw;.sxd
OpenOffice - Writer (Text - HTML);application/vnd.sun.xml.writer.global;.sxg
OpenOffice - Impress (Presentation);application/vnd.sun.xml.impress;.sxi
OpenOffice - Math (Formula);application/vnd.sun.xml.math;.sxm
OpenOffice - Writer (Text - HTML);application/vnd.sun.xml.writer;.sxw
troff;text/troff;.t
Tao Intent;application/vnd.tao.intent-module-archive;.tao
Tar File (Tape Archive);application/x-tar;.tar
3rd Generation Partnership Project - Transaction Capabilities Application Part;application/vnd.3gpp2.tcap;.tcap
Tcl Script;application/x-tcl;.tcl
SMART Technologies Apps;application/vnd.smart.teacher;.teacher
Text Encoding and Interchange;application/tei+xml;.tei
TeX;application/x-tex;.tex
GNU Texinfo Document;application/x-texinfo;.texinfo
Sharing Transaction Fraud Data;application/thraud+xml;.tfi
TeX Font Metric;application/x-tex-tfm;.tfm
Microsoft Office System Release Theme;application/vnd.ms-officetheme;.thmx
Tagged Image File Format;image/tiff;.tiff
MobileTV;application/vnd.tmobile-livetv;.tmo
BitTorrent;application/x-bittorrent;.torrent
Groove - Tool Template;application/vnd.groove-tool-template;.tpl
TRI Systems Config;application/vnd.trid.tpt;.tpt
True BASIC;application/vnd.trueapp;.tra
Microsoft Windows Terminal Services;application/x-msterminal;.trm
Time Stamped Data Envelope;application/timestamped-data;.tsd
Tab Seperated Values;text/tab-separated-values;.tsv
TrueType Font;application/x-font-ttf;.ttf
Turtle (Terse RDF Triple Language);text/turtle;.ttl
SimTech MindMapper;application/vnd.simtech-mindmapper;.twd
Genomatix Tuxedo Framework;application/vnd.genomatix.tuxedo;.txd
Mobius Management Systems - Topic Index File;application/vnd.mobius.txf;.txf
Text File;text/plain;.txt
Universal Forms Description Language;application/vnd.ufdl;.ufd
UMAJIN;application/vnd.umajin;.umj
Unity 3d;application/vnd.unity;.unityweb
Unique Object Markup Language;application/vnd.uoml+xml;.uoml
URI Resolution Services;text/uri-list;.uri
Ustar (Uniform Standard Tape Archive);application/x-ustar;.ustar
User Interface Quartz - Theme (Symbian);application/vnd.uiq.theme;.utz
UUEncode;text/x-uuencode;.uu
DECE Audio;audio/vnd.dece.audio;.uva
DECE High Definition Video;video/vnd.dece.hd;.uvh
DECE Graphic;image/vnd.dece.graphic;.uvi
DECE Mobile Video;video/vnd.dece.mobile;.uvm
DECE PD Video;video/vnd.dece.pd;.uvp
DECE SD Video;video/vnd.dece.sd;.uvs
DECE MP4;video/vnd.uvvu.mp4;.uvu
DECE Video;video/vnd.dece.video;.uvv
Video CD;application/x-cdlink;.vcd
vCard;text/x-vcard;.vcf
Groove - Vcard;application/vnd.groove-vcard;.vcg
vCalendar;text/x-vcalendar;.vcs
VirtualCatalog;application/vnd.vcx;.vcx
Visionary;application/vnd.visionary;.vis
Vivo;video/vnd.vivo;.viv
Microsoft Visio;application/vnd.visio;.vsd
Microsoft Visio 2013;application/vnd.visio2013;.vsdx
Viewport+;application/vnd.vsf;.vsf
Virtue VTU;model/vnd.vtu;.vtu
VoiceXML;application/voicexml+xml;.vxml
Doom Video Game;application/x-doom;.wad
Waveform Audio File Format (WAV);audio/x-wav;.wav
Microsoft Windows Media Audio Redirector;audio/x-ms-wax;.wax
WAP Bitamp (WBMP);image/vnd.wap.wbmp;.wbmp
Critical Tools - PERT Chart EXPERT;application/vnd.criticaltools.wbs+xml;.wbs
WAP Binary XML (WBXML);application/vnd.wap.wbxml;.wbxml
Open Web Media Project - Audio;audio/webm;.weba
Open Web Media Project - Video;video/webm;.webm
WebP Image;image/webp;.webp
Qualcomm's Plaza Mobile Internet;application/vnd.pmi.widget;.wg
Widget Packaging and XML Configuration;application/widget;.wgt
Microsoft Windows Media;video/x-ms-wm;.wm
Microsoft Windows Media Audio;audio/x-ms-wma;.wma
Microsoft Windows Media Player Download Package;application/x-ms-wmd;.wmd
Microsoft Windows Metafile;application/x-msmetafile;.wmf
Wireless Markup Language (WML);text/vnd.wap.wml;.wml
Compiled Wireless Markup Language (WMLC);application/vnd.wap.wmlc;.wmlc
Wireless Markup Language Script (WMLScript);text/vnd.wap.wmlscript;.wmls
WMLScript;application/vnd.wap.wmlscriptc;.wmlsc
Microsoft Windows Media Video;video/x-ms-wmv;.wmv
Microsoft Windows Media Audio/Video Playlist;video/x-ms-wmx;.wmx
Microsoft Windows Media Player Skin Package;application/x-ms-wmz;.wmz
Web Open Font Format;application/x-font-woff;.woff
Wordperfect;application/vnd.wordperfect;.wpd
Microsoft Windows Media Player Playlist;application/vnd.ms-wpl;.wpl
Microsoft Works;application/vnd.ms-works;.wps
SundaHus WQ;application/vnd.wqd;.wqd
Microsoft Wordpad;application/x-mswrite;.wri
Virtual Reality Modeling Language;model/vrml;.wrl
WSDL - Web Services Description Language;application/wsdl+xml;.wsdl
Web Services Policy;application/wspolicy+xml;.wspolicy
WebTurbo;application/vnd.webturbo;.wtb
Microsoft Windows Media Video Playlist;video/x-ms-wvx;.wvx
3D Crossword Plugin;application/vnd.hzn-3d-crossword;.x3d
Microsoft Silverlight;application/x-silverlight-app;.xap
CorelXARA;application/vnd.xara;.xar
Microsoft XAML Browser Application;application/x-ms-xbap;.xbap
Fujitsu - Xerox DocuWorks Binder;application/vnd.fujixerox.docuworks.binder;.xbd
X BitMap;image/x-xbitmap;.xbm
XML Configuration Access Protocol - XCAP Diff;application/xcap-diff+xml;.xdf
SyncML - Device Management;application/vnd.syncml.dm+xml;.xdm
Adobe XML Data Package;application/vnd.adobe.xdp+xml;.xdp
Data Structure for the Security Suitability of Cryptographic Algorithms;application/dssc+xml;.xdssc
Fujitsu - Xerox DocuWorks;application/vnd.fujixerox.docuworks;.xdw
XML Encryption Syntax and Processing;application/xenc+xml;.xenc
XML Patch Framework;application/patch-ops-error+xml;.xer
Adobe XML Forms Data Format;application/vnd.adobe.xfdf;.xfdf
Extensible Forms Description Language;application/vnd.xfdl;.xfdl
XHTML - The Extensible HyperText Markup Language;application/xhtml+xml;.xhtml
eXtended Image File Format (XIFF);image/vnd.xiff;.xif
Microsoft Excel - Add-In File;application/vnd.ms-excel.addin.macroenabled.12;.xlam
Microsoft Excel;application/vnd.ms-excel;.xls
Microsoft Excel - Binary Workbook;application/vnd.ms-excel.sheet.binary.macroenabled.12;.xlsb
Microsoft Excel - Macro-Enabled Workbook;application/vnd.ms-excel.sheet.macroenabled.12;.xlsm
Microsoft Office - OOXML - Spreadsheet;application/vnd.openxmlformats-officedocument.spreadsheetml.sheet;.xlsx
Microsoft Excel - Macro-Enabled Template File;application/vnd.ms-excel.template.macroenabled.12;.xltm
Microsoft Office - OOXML - Spreadsheet Template;application/vnd.openxmlformats-officedocument.spreadsheetml.template;.xltx
XML - Extensible Markup Language;application/xml;.xml
Sugar Linux Application Bundle;application/vnd.olpc-sugar;.xo
XML-Binary Optimized Packaging;application/xop+xml;.xop
XPInstall - Mozilla;application/x-xpinstall;.xpi
X PixMap;image/x-xpixmap;.xpm
Express by Infoseek;application/vnd.is-xpr;.xpr
Microsoft XML Paper Specification;application/vnd.ms-xpsdocument;.xps
Intercon FormNet;application/vnd.intercon.formnet;.xpw
XML Transformations;application/xslt+xml;.xslt
SyncML;application/vnd.syncml+xml;.xsm
XSPF - XML Shareable Playlist Format;application/xspf+xml;.xspf
XUL - XML User Interface Language;application/vnd.mozilla.xul+xml;.xul
X Window Dump;image/x-xwindowdump;.xwd
XYZ File Format;chemical/x-xyz;.xyz
YAML Ain't Markup Language / Yet Another Markup Language;text/yaml;.yaml
YANG Data Modeling Language;application/yang;.yang
YIN (YANG - XML);application/yin+xml;.yin
Zzazz Deck;application/vnd.zzazz.deck+xml;.zaz
Zip Archive;application/zip;.zip
Z.U.L. Geometry;application/vnd.zul;.zir
ZVUE Media Manager;application/vnd.handheld-entertainment+xml;.zmm
Andrew Toolkit;application/andrew-inset;N/A
